City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,prachin buri,14.0833,101.6667,302.13,76,99,1.35,TH,1729135752
83,isafjordur,66.0755,-23.124,271.63,83,99,3.55,IS,1729135753
84,cabo san lucas,22.8909,-109.9124,301.32,54,0,1.54,MX,1729135754
85,conception bay south,47.4999,-52.9981,280.33,94,97,6.73,CA,1729135755
86,eyl,7.9803,49.8164,298.68,86,65,4.83,SO,1729135756
87,kericho,-0.3677,35.2831,286.77,91,100,1.26,KE,1729135758
88,tafuna,-14.3358,-170.72,303.12,66,40,5.14,AS,1729135759
89,villa huidobro,-34.8383,-64.5869,291.29,83,0,5.21,AR,1729135760
90,afif,23.9065,42.9172,294.63,23,3,4.08,SA,1729135761
91,kodiak,57.79,-152.4072,280.88,53,0,4.63,US,1729135762
92,codrington,-38.2667,141.9667,298.89,57,100,7.18,AU,1729135763
93,veracruz,19.3333,-96.6667,292.37,88,0,1.68,MX,1729135764
94,la passe,45.5549,-0.8967,289.83,89,99,5.38,FR,1729135766
95,abadan,30.3392,48.3043,295.12,60,0,1.03,IR,1729135767
96,port mathurin,-19.6833,63.4167,296.32,79,97,5.0,MU,1729135768
97,klyuchi,52.2667,79.1667,275.48,55,7,1.14,RU,1729135769
98,covilha,40.286,-7.504,283.64,97,100,2.68,PT,1729135770
99,moroni,-11.7022,43.2551,297.3,77,52,5.98,KM,1729135773
100,bouna,9.2667,-3.0,295.28,94,76,1.37,CI,1729135774
101,berdigestyakh,62.0989,126.6992,271.47,90,100,1.08,RU,1729135775
102,urcos,-13.6861,-71.6228,284.07,80,69,1.9,PE,1729135776
103,yuci,37.6803,112.7319,288.01,77,100,4.0,CN,1729135777
104,poltavka,54.3663,71.7632,272.8,76,1,1.36,RU,1729135779
105,kaspiyskiy,45.3929,47.3707,286.51,67,100,6.86,RU,1729135780
106,vorgashor,67.5833,63.95,272.78,98,100,6.39,RU,1729135781
107,longyearbyen,78.2186,15.6401,272.06,86,75,2.57,SJ,1729135782
108,wenchang,30.904,118.4887,299.08,71,92,2.31,CN,1729135785
109,lebu,-37.6167,-73.65,285.36,95,90,5.95,CL,1729135786
110,sanchor,24.7553,71.7722,303.7,47,77,0.91,IN,1729135788
111,port macquarie,-31.4333,152.9167,295.97,74,45,1.79,AU,1729135791
112,dolgorukovo,52.3195,38.3453,279.2,88,100,5.21,RU,1729135792
113,lihue,21.9789,-159.3672,300.92,65,20,7.72,US,1729135587
114,walvis bay,-22.9575,14.5053,282.68,93,0,3.09,NA,1729135794
115,auki,-8.7676,160.7034,301.96,78,87,0.03,SB,1729135795
116,san patricio,28.017,-97.5169,294.12,59,3,6.22,US,1729135796
117,loanda,-8.8368,13.2343,297.15,88,100,3.6,AO,1729135504
118,udachny,66.4167,112.4,260.88,91,94,4.57,RU,1729135799
119,tongchuanshi,35.0806,109.0897,288.78,89,100,1.24,CN,1729135800
120,kourou,5.1552,-52.6478,298.58,84,44,1.69,GF,1729135804
121,enewetak,11.3474,162.3373,301.8,77,100,7.49,MH,1729135805
122,arraial do cabo,-22.9661,-42.0278,295.41,88,59,5.78,BR,1729135647
123,tsiombe,-25.3,45.4833,291.09,56,100,3.8,MG,1729135807
124,kyshtovka,56.555,76.6271,275.71,73,5,1.51,RU,1729135808
125,sisimiut,66.9395,-53.6735,270.96,70,85,0.69,GL,1729135584
126,asau,46.4333,26.4,275.12,85,25,2.47,RO,1729135811
127,port elizabeth,-33.918,25.5701,291.66,76,100,1.54,ZA,1729135812
128,stanley,54.868,-1.6985,287.19,98,75,2.06,GB,1729135813
129,ixtapa,20.7,-105.2,301.72,79,20,1.54,MX,1729135814
130,mitu,1.1983,-70.1733,297.54,81,57,0.73,CO,1729135815
131,mangaratiba,-22.9597,-44.0406,294.13,90,10,1.17,BR,1729135817
132,vorkuta,67.5,64.0,272.99,98,100,6.76,RU,1729135818
133,selfoss,63.9331,-20.9971,277.62,92,94,2.11,IS,1729135819
134,acapulco de juarez,16.8634,-99.8901,302.05,79,40,3.09,MX,1729135820
135,esmeraldas,-19.7625,-44.3139,291.68,89,6,0.59,BR,1729135821
136,margaret river,-33.95,115.0667,289.15,57,17,4.77,AU,1729135822
137,carboneras,37.0015,-1.9213,294.87,56,0,11.41,ES,1729135824
138,esmeralda,21.8525,-78.1169,296.48,96,100,2.42,CU,1729135825
139,bongor,10.2806,15.3722,297.24,77,99,2.47,TD,1729135826
140,qarazhal,48.0078,70.7903,278.02,51,8,1.27,KZ,1729135827
141,malatya,38.5,38.0,282.18,82,40,1.03,TR,1729135829
142,port alfred,-33.5906,26.891,288.81,89,99,1.55,ZA,1729135831
143,northam,51.0333,-4.2167,285.71,99,38,4.75,GB,1729135832
144,nova sintra,14.8667,-24.7167,299.49,81,11,3.26,CV,1729135833
145,taroa,8.7058,171.2275,299.07,85,100,3.45,MH,1729135834
146,el granada,37.5027,-122.4694,289.51,84,0,6.69,US,1729135835
147,hoemul-li,41.4339,129.67,289.85,56,42,2.37,KP,1729135836
148,al burayqah,30.4062,19.5739,295.45,70,0,4.26,LY,1729135838
149,maun,-19.9833,23.4167,293.13,56,0,4.12,BW,1729135582
150,grand falls-windsor,48.9332,-55.6649,277.87,92,31,2.26,CA,1729135840
151,belen,36.4891,36.2233,291.7,92,40,4.12,TR,1729135842
152,santa cruz,-17.8,-63.1667,296.85,88,32,4.63,BO,1729135683
153,vila franca do campo,37.7167,-25.4333,291.42,99,100,1.44,PT,1729135845
154,sitka,57.0531,-135.33,282.09,76,75,2.06,US,1729135847
155,lubu,23.1742,112.2809,304.13,54,36,3.42,CN,1729135849
156,ilulissat,69.2167,-51.1,266.16,63,1,1.54,GL,1729135850
157,topoloveni,44.8167,25.0833,282.76,71,96,0.63,RO,1729135851
158,palangkaraya,-2.2,113.8333,303.77,61,99,1.48,ID,1729135770
159,chesma,53.8111,60.6533,275.14,54,100,2.91,RU,1729135854
160,san jose,37.3394,-121.895,291.49,69,0,4.12,US,1729135748
161,nizhniy kuranakh,58.8353,125.4869,272.55,53,100,2.17,RU,1729135856
162,macusani,-14.0833,-70.4333,275.78,92,97,2.14,PE,1729135857
163,tuensang,26.2833,94.8333,297.66,46,10,1.68,IN,1729135858
164,bellary,15.15,76.9333,298.33,82,99,1.61,IN,1729135860
165,pekanbaru,0.5333,101.45,303.33,66,20,2.06,ID,1729135861
166,aasiaat,68.7098,-52.8699,261.51,83,7,4.2,GL,1729135862
167,anadyr,64.75,177.4833,275.43,80,0,3.0,RU,1729135863
168,okhotsk,59.3833,143.3,271.48,41,97,10.46,RU,1729135864
169,guaduas,5.0669,-74.595,291.56,97,96,1.8,CO,1729135865
170,blaye,45.1667,-0.5,290.92,97,100,2.9,FR,1729135866
171,yaren,-0.5472,166.916,301.19,78,100,5.52,NR,1729135868
172,syktyvkar,61.6764,50.8099,276.0,100,75,2.0,RU,1729135869
173,tofol,5.3248,163.0078,300.77,82,100,11.51,FM,1729135870
174,homer,59.6425,-151.5483,279.09,73,0,2.57,US,1729135871
175,carnarvon,-24.8667,113.6333,295.27,59,47,7.21,AU,1729135872
176,constantia,44.1833,28.65,280.76,73,8,7.98,RO,1729135873
177,sorong,-0.8833,131.25,301.1,76,55,1.06,ID,1729135875
178,mogocha,53.7333,119.7667,274.29,48,100,5.05,RU,1729135876
179,utrik,11.2278,169.8474,301.89,76,97,5.87,MH,1729135877
180,rio gallegos,-51.6226,-69.2181,282.18,71,20,2.57,AR,1729135879
181,piacabucu,-10.4056,-36.4344,297.95,79,71,5.24,BR,1729135880
182,gagliano del capo,39.8442,18.3695,291.83,88,100,6.17,IT,1729135882
183,huinan,42.6225,126.2614,290.01,47,83,1.76,CN,1729135883
184,pacasmayo,-7.4006,-79.5714,290.36,87,100,3.68,PE,1729135884
185,pacific grove,36.6177,-121.9166,290.21,88,0,3.09,US,1729135885
186,sinan,34.8262,126.1086,293.31,74,100,1.5,KR,1729135886
187,chibougamau,49.9168,-74.3659,273.94,93,75,2.57,CA,1729135889
